TDS,pH,Temp,Date,Time,Tak
0.05,0.74,0.00,63/142/2195,243:23:65,15.06
0.00,ovf,13.39,12/23/2024,17:04:00,3.42
0.02,1.01,5.25,12/23/2024,17:36:48,3.28
0.02,0.27,4.94,12/23/2024,17:37:21,3.64
0.02,0.25,4.69,12/23/2024,17:37:51,3.67
0.02,0.27,4.44,12/23/2024,17:38:21,3.86
0.02,3.50,4.06,12/23/2024,17:38:51,3.04
0.02,0.25,3.81,12/23/2024,17:39:21,3.51
0.02,0.27,3.63,12/23/2024,17:39:52,3.35
0.02,0.27,3.44,12/23/2024,17:40:22,3.48
0.02,0.27,3.56,12/23/2024,17:40:52,3.75
0.02,0.25,3.13,12/23/2024,17:41:22,3.46
0.02,0.25,2.00,12/23/2024,17:41:52,3.55
0.02,0.27,1.00,12/23/2024,17:42:22,3.65
0.02,0.27,3.06,12/23/2024,17:42:53,3.50
0.14,0.63,2.75,12/23/2024,17:43:23,4.13
0.08,0.25,2.50,12/23/2024,17:43:53,3.69
0.15,0.25,2.81,12/23/2024,17:44:23,3.46
0.16,0.57,2.81,12/23/2024,17:44:53,3.52
0.16,0.60,2.75,12/23/2024,17:45:24,3.52
0.16,0.65,2.75,12/23/2024,17:45:54,3.53
0.16,0.60,2.75,12/23/2024,17:46:24,3.53
0.16,0.63,2.81,12/23/2024,17:46:54,3.53
0.16,0.60,2.88,12/23/2024,17:47:24,3.53
0.16,0.60,2.88,12/23/2024,17:47:54,3.54
